Aae-Bantam_pre	MI0013439
Aae-Iab-4-P1_pre	MI0013485
Aae-Iab-4-P2_pre	MI0013531
Aae-Let-7_pre	MI0013505
Aae-Mir-10-P1-v1_pre	MI0013484
Aae-Mir-10-P1-v2_pre	MI0013484
Aae-Mir-10-P2_pre	MI0013497
Aae-Mir-10-P3_pre	MI0013465
Aae-Mir-10-P4_pre	MI0013472
Aae-Mir-1000-P1_pre	MI0013502
Aae-Mir-1000-P2_pre	MI0013503
Aae-Mir-1175_pre	MI0013470
Aae-Mir-11893-P1_pre	MI0037925
Aae-Mir-11893-P2_pre	MI0037926
Aae-Mir-11895-P1_pre	MI0037932
Aae-Mir-11895-P2_pre	MI0037933
Aae-Mir-11899-P1_pre	MI0037939
Aae-Mir-11899-P2_pre	MI0037940
Aae-Mir-11900_pre	MI0037941
Aae-Mir-11911_pre	MI0037954
Aae-Mir-124_pre	MI0013488
Aae-Mir-12_pre	MI0013462
Aae-Mir-133_pre	MI0013482
Aae-Mir-137-P11_pre	MI0013480
Aae-Mir-137-P12_pre	MI0013481
Aae-Mir-14_pre	MI0013452
Aae-Mir-184_pre	MI0013433
Aae-Mir-1890_pre	MI0013457
Aae-Mir-1891-P1-v1_pre	MI0013468
Aae-Mir-1891-P1-v2_pre	MI0013468
Aae-Mir-1891-P2-v1_pre	MI0013469
Aae-Mir-1891-P2-v2_pre	MI0013469
Aae-Mir-190_pre	MI0013454
Aae-Mir-193-P1_pre	MI0013511
Aae-Mir-1_pre	MI0013455
Aae-Mir-2-P10a_pre	MI0013510
Aae-Mir-2-P10b_pre	MI0013510
Aae-Mir-2-P4_pre	MI0013463
Aae-Mir-2-P7_pre	MI0013453
Aae-Mir-2-P8_pre	MI0013466
Aae-Mir-2-o54_pre	MI0013443
Aae-Mir-2-o55-v1_pre	MI0013512
Aae-Mir-2-o55-v2_pre	MI0013512
Aae-Mir-2-o56-v1_pre	MI0013514
Aae-Mir-2-o56-v2_pre	MI0013514
Aae-Mir-210-v1_pre	MI0013499
Aae-Mir-210-v2_pre	MI0013499
Aae-Mir-216-P1_pre	MI0013448
Aae-Mir-216-P2_pre	MI0013486
Aae-Mir-219_pre	MI0013513
Aae-Mir-22-P2_pre	MI0013449
Aae-Mir-252-P1_pre	MI0013438
Aae-Mir-275_pre	MI0013434
Aae-Mir-276-P1_pre	MI0013441
Aae-Mir-276-P2_pre	MI0013516
Aae-Mir-2765_pre	MI0013490
Aae-Mir-277_pre	MI0013435
Aae-Mir-278_pre	MI0013450
Aae-Mir-279-P1_pre	MI0013494
Aae-Mir-279-P2a_pre	MI0013521
Aae-Mir-279-P2b1_pre	MI0013519
Aae-Mir-279-P2b2_pre	MI0013520
Aae-Mir-279-P3_pre	MI0013460
Aae-Mir-279-o26_pre	MI0013522
Aae-Mir-281_pre	MI0013447
Aae-Mir-282-P1_pre	MI0013517
Aae-Mir-282-P2_pre	MI0013518
Aae-Mir-29-P1d_pre	MI0013444
Aae-Mir-29-P2_pre	MI0013479
Aae-Mir-2940_pre	MI0013489
Aae-Mir-2941-P1_pre	MI0013491
Aae-Mir-2941-P2_pre	MI0013532
Aae-Mir-3-P2a1_pre	MI0013477
Aae-Mir-3-P2a2_pre	MI0013478
Aae-Mir-3-P2b_pre	MI0013526
Aae-Mir-305_pre	MI0013459
Aae-Mir-306_pre	MI0013446
Aae-Mir-315_pre	MI0013467
Aae-Mir-316_pre	MI0013523
Aae-Mir-317-P8_pre	MI0013442
Aae-Mir-317-P9_pre	MI0013524
Aae-Mir-31_pre	MI0013483
Aae-Mir-33_pre	MI0013493
Aae-Mir-34_pre	MI0013456
Aae-Mir-375_pre	MI0013504
Aae-Mir-67_pre	MI0013501
Aae-Mir-71_pre	MI0013440
Aae-Mir-750_pre	MI0013471
Aae-Mir-76_pre	MI0013473
Aae-Mir-7_pre	MI0013496
Aae-Mir-87_pre	MI0013461
Aae-Mir-8_pre	MI0013437
Aae-Mir-9-P10-v1_pre	MI0013500
Aae-Mir-9-P10-v2_pre	MI0013500
Aae-Mir-9-P7a_pre	MI0013528
Aae-Mir-9-P7b_pre	MI0013529
Aae-Mir-9-P8_pre	MI0013530
Aae-Mir-9-P9_pre	MI0013436
Aae-Mir-92-o59_pre	MI0013445
Aae-Mir-92-o60_pre	MI0013527
Aae-Mir-927-P1_pre	MI0013476
Aae-Mir-927-P2_pre	MI0037934
Aae-Mir-929-P1_pre	MI0014710
Aae-Mir-929-P2_pre	MI0014711
Aae-Mir-932_pre	MI0013475
Aae-Mir-957_pre	MI0013458
Aae-Mir-96-P2_pre	MI0013515
Aae-Mir-96-P3_pre	MI0013495
Aae-Mir-965_pre	MI0013474
Aae-Mir-970_pre	MI0013498
Aae-Mir-988_pre	MI0013487
