-16	-15	-14	-13	-12	-11	-10	-9	-8	-7	-6	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
Aae-Bantam	0	0	0	0	4.3	1.6	0	-0.6	-1.9	-2.8	-2.6	0.4	2.1	0.1	-0.6	-0.3	-4.4	-3.8	-4.8	-4.8	-2.4	-2	-1.1	-0.2	1.7	7.7	0.7	-0.4	-3.3	-4.9	-6.1	-4.1	-3.9	-4.4
Aae-Iab-4-P1	0.4	2	0.1	1.2	-2.2	-4	-7	-2.7	-2.4	-0.4	4.8	4	0.1	-0.8	-0.5	-5.1	-5.4	-6.4	-5.6	-5.5	-6.1	-5.9	-5.4	-2.2	-1.3	-1	0.6	2.6	-3.2	-3.8	0.8	0.2	0.5	-1.4
Aae-Iab-4-P1-as	-3.1	-4.6	-2.2	-4.1	-2.4	1.3	0.4	-2.8	1.2	2	-0.3	0.6	5.9	1.7	0.1	0	-3.5	-4.6	-5.4	-6.4	-5.6	-5.5	-6.1	-5.9	-5.4	-2.2	-1.3	-1	0.8	1	-0.5	-2.4	-1.1	2.1
Aae-Iab-4-P2	0.4	2	0.1	1.2	-2.2	-4	-7	-2.7	-2.4	-0.4	4.8	4	0.1	-0.8	-0.5	-5.1	-5.4	-6.4	-5.6	-5.5	-6.1	-5.9	-5.4	-2.2	-1.3	-1	0.6	2.6	-3.2	-3.8	0.8	0.2	0.5	-1.4
Aae-Iab-4-P2-as	-3.1	-4.6	-2.2	-4.1	-2.4	1.3	0.4	-2.8	1.2	2	-0.3	0.6	5.9	1.7	0.1	0	-3.5	-4.6	-5.4	-6.4	-5.6	-5.5	-6.1	-5.9	-5.4	-2.2	-1.3	-1	0.8	1	-0.5	-2.4	-1.1	2.1
Aae-Let-7	-3.1	-3.1	1.7	2.7	3.2	1.3	-0.3	-3	-4.6	-4.7	-2.8	-1	0.3	-0.6	0.4	-0.5	-1.8	-3.6	-4.3	-3.2	-1	-1.2	-1.3	-0.6	-0.2	-5	-4.8	-3.9	-3.8	-5.5	-5.9	-3.9	-5.5	-5.1
Aae-Mir-1	-3.1	-3.1	0.4	-0.5	1	2.6	-1.3	0.1	-1.8	0	0	-6.1	-7.7	-7.4	-5.4	-7.8	-7.5	-5.1	-5.4	-5.3	-1.6	-0.5	1.1	-1	-0.7	-3.5	-3.4	-5.4	-5.8	-0.7	0.8	0.3	2.7	2.6
Aae-Mir-2-o54	-0.3	-1.2	-3.9	-5	-5.3	-5	-4.6	-4.6	-5.8	-4	-3.4	2.7	2	0	0	-2.2	-3.8	-3.6	-1.9	-2.8	2.1	-2.4	-3.1	-4.2	-3.9	-4.9	-7.7	-8.7	-7.3	-5.1	-1.8	-1.3	-1.2	-1.5
Aae-Mir-2-o55-v1	-3.6	-6	-8	-7.5	-5	-2.8	-2.3	-1.5	0.5	-1.1	-4.8	-2.6	-2.3	-2.6	0.6	-0.7	-3.2	-3.6	-1.9	-2.8	-1.7	-2.4	-3.1	-5.6	-6.3	-7.3	-10.1	-11.1	-9.7	-7.1	-1.8	-1.3	-1.3	0.9
Aae-Mir-2-o55-v2	-3.6	-6	-8	-7.5	-5	-2.8	-2.3	-1.5	0.5	-1.1	-4.8	-2.6	-2.3	-2.6	0.6	-0.7	-3.2	-3.6	-1.9	-2.8	-1.7	-2.4	-3.1	-5.6	-6.3	-7.3	-10.1	-11.1	-9.7	-7.1	-1.8	-1.3	-1.3	0.9
Aae-Mir-2-o56-v1	-9.6	-8.4	-5.5	0.3	0.4	-1.4	-0.5	-5.3	-6.2	-8.7	-8.3	-2.4	-1.6	0	-2	-2	-5.3	-4.9	-3.1	0.7	2	2	-0.4	-1.5	-4.7	-6.6	-7.7	-6.7	-3.4	1.9	1.2	0.2	1.9	-0.6
