GHG_Fang_definition	GHG_Kown_score	GHG_defined_by_bulge
Hsa-Let-7-P1a	0	43.53	0
Hsa-Let-7-P1b	0	32.09	0
Hsa-Let-7-P1c	0	23.98	0
Hsa-Let-7-P2a1	0	27.55	1
Hsa-Let-7-P2a2	0	13.12	0
Hsa-Let-7-P2a3	1	68.3	0
Hsa-Let-7-P2b1	NA	NA	0
Hsa-Let-7-P2b2	NA	NA	1
Hsa-Let-7-P2b3	0	31.64	0
Hsa-Let-7-P2c1	0	40.05	0
Hsa-Let-7-P2c2	1	87.66	1
Hsa-Let-7-P2c3	0	23.98	0
Hsa-Mir-1-P1	1	51.41	0
Hsa-Mir-1-P2	1	48.63	1
Hsa-Mir-1-P3	1	51.76	0
Hsa-Mir-10-P1a-v1	0	26.79	0
Hsa-Mir-10-P1b-v1	0	25.17	0
Hsa-Mir-10-P2a	0	7.59	0
Hsa-Mir-10-P2b	0	28.52	0
Hsa-Mir-10-P2c	0	15.6	0
Hsa-Mir-10-P3a	1	46.01	0
Hsa-Mir-10-P3b	1	95.93	1
Hsa-Mir-10-P3c	1	86.45	1
Hsa-Mir-101-P1-v1	0	79.55	0
Hsa-Mir-101-P2-v1	0	40.05	0
Hsa-Mir-103-P1	0	66.43	0
Hsa-Mir-103-P2	0	80.66	1
Hsa-Mir-103-P3	0	66.43	0
Hsa-Mir-105-P1	0	22.22	0
Hsa-Mir-105-P2	0	22.22	0
Hsa-Mir-1180	0	27.93	0
Hsa-Mir-122	0	39.78	0
Hsa-Mir-124-P1-v1	0	6.43	1
Hsa-Mir-124-P2-v1	1	100	0
Hsa-Mir-124-P3-v1	0	40.9	1
Hsa-Mir-1247	1	74.23	0
Hsa-Mir-1249	0	7.18	1
Hsa-Mir-1251	1	75.26	0
Hsa-Mir-1252	0	70.71	1
Hsa-Mir-126-v1	0	80.11	0
Hsa-Mir-1266	1	61.99	0
Hsa-Mir-1269	0	41.75	0
Hsa-Mir-127	0	23.98	1
Hsa-Mir-1270	0	18.3	0
Hsa-Mir-1271	0	13.87	1
Hsa-Mir-1276	0	59.87	0
Hsa-Mir-1277	1	81.79	1
Hsa-Mir-1278	1	100	0
Hsa-Mir-128-P1	1	51.41	0
Hsa-Mir-128-P2	0	9.81	0
Hsa-Mir-1286	0	52.12	1
Hsa-Mir-1287	0	29.52	0
Hsa-Mir-129-P1	0	33.92	1
Hsa-Mir-129-P2	1	66.43	0
Hsa-Mir-1294	0	20.73	0
Hsa-Mir-1295	0	80.11	0
Hsa-Mir-1296	NA	NA	0
Hsa-Mir-1298	0	31.64	1
Hsa-Mir-130-P1a	0	55.86	0
Hsa-Mir-130-P1b	0	77.38	1
Hsa-Mir-130-P2a	0	11.58	1
Hsa-Mir-130-P2b	NA	NA	1
Hsa-Mir-130-P4a	1	81.79	1
Hsa-Mir-1301	0	46.01	0
Hsa-Mir-1307	0	28.72	1
Hsa-Mir-132-P1	1	37.37	1
Hsa-Mir-132-P2	0	41.47	0
Hsa-Mir-1323	0	16.04	0
Hsa-Mir-133-P1-v1	0	24.83	0
Hsa-Mir-133-P2-v1	0	17.19	0
Hsa-Mir-133-P3-v1	0	66.43	0
Hsa-Mir-134	0	14.87	0
Hsa-Mir-1343	0	21.61	0
Hsa-Mir-135-P1	1	68.3	0
Hsa-Mir-135-P2	0	9.88	0
Hsa-Mir-135-P3	0	46.01	0
Hsa-Mir-136-v1	0	10.81	0
Hsa-Mir-137-P1-v1	1	65.07	0
Hsa-Mir-138-P1	0	34.15	0
Hsa-Mir-138-P2	0	21.02	0
Hsa-Mir-139	0	86.45	1
Hsa-Mir-140-v1	0	50.35	0
Hsa-Mir-142-v1	0	10.96	1
Hsa-Mir-143	0	47.63	1
Hsa-Mir-144	1	74.74	1
Hsa-Mir-145	0	40.05	0
Hsa-Mir-146-P1	NA	NA	0
Hsa-Mir-146-P2	1	74.74	1
Hsa-Mir-147-v1	0	38.16	0
Hsa-Mir-148-P1	0	17.19	1
Hsa-Mir-148-P2	0	20.59	1
Hsa-Mir-148-P3	0	10.37	0
Hsa-Mir-149	0	43.53	0
Hsa-Mir-15-P1a	0	63.29	0
Hsa-Mir-15-P1b	0	63.29	0
Hsa-Mir-15-P1c	0	43.53	0
Hsa-Mir-15-P1d	0	50.35	0
Hsa-Mir-15-P2a	0	46.33	1
Hsa-Mir-15-P2b	1	81.79	1
Hsa-Mir-15-P2c	1	41.75	0
Hsa-Mir-15-P2d	1	92.66	1
Hsa-Mir-150	0	55.86	0
Hsa-Mir-153-P1	0	66.43	0
Hsa-Mir-153-P2	0	41.47	1
Hsa-Mir-154-P1	0	8.25	1
Hsa-Mir-154-P10	NA	NA	1
Hsa-Mir-154-P12	0	41.75	0
Hsa-Mir-154-P13	NA	NA	0
Hsa-Mir-154-P14	0	41.75	0
Hsa-Mir-154-P15	0	24.15	0
Hsa-Mir-154-P16	0	8.25	1
Hsa-Mir-154-P17	0	8.25	1
Hsa-Mir-154-P18	0	42.63	0
Hsa-Mir-154-P19	0	39.5	1
Hsa-Mir-154-P2-v1	NA	NA	1
Hsa-Mir-154-P20-v1	0	51.76	0
Hsa-Mir-154-P21	0	72.2	0
Hsa-Mir-154-P22	0	31.64	1
Hsa-Mir-154-P23	0	38.69	0
Hsa-Mir-154-P24	0	13.12	0
Hsa-Mir-154-P25	1	74.74	1
Hsa-Mir-154-P26	NA	NA	0
Hsa-Mir-154-P27	0	24.15	0
Hsa-Mir-154-P28a	0	51.41	1
Hsa-Mir-154-P28b	0	51.41	1
Hsa-Mir-154-P29	NA	NA	0
Hsa-Mir-154-P30	0	51.76	0
Hsa-Mir-154-P36	0	18.3	0
Hsa-Mir-154-P3a-v1	NA	NA	0
Hsa-Mir-154-P3b	0	18.3	0
Hsa-Mir-154-P4a	0	4.39	1
Hsa-Mir-154-P4b	0	4.39	1
Hsa-Mir-154-P5	NA	NA	0
Hsa-Mir-154-P6	0	16.96	0
Hsa-Mir-154-P7	NA	NA	0
Hsa-Mir-154-P8	0	41.75	0
Hsa-Mir-154-P9	0	72.2	0
Hsa-Mir-155	0	25.53	0
Hsa-Mir-17-P1a	0	30.15	0
Hsa-Mir-17-P1b	0	10.88	1
Hsa-Mir-17-P1c	0	50.35	0
Hsa-Mir-17-P2a	1	60.29	0
Hsa-Mir-17-P2b	0	29.94	0
Hsa-Mir-17-P3a	0	19.34	0
Hsa-Mir-17-P3b	NA	NA	1
Hsa-Mir-17-P3c	0	23.33	1
Hsa-Mir-181-P1a	0	5.11	1
Hsa-Mir-181-P1b	0	38.69	0
Hsa-Mir-181-P1c	0	10.58	0
Hsa-Mir-181-P2a	1	76.31	0
Hsa-Mir-181-P2b	1	100	0
Hsa-Mir-181-P2c	1	76.31	0
Hsa-Mir-184	1	76.31	0
Hsa-Mir-185	0	32.76	0
Hsa-Mir-186	0	55.86	0
Hsa-Mir-187	0	13.3	0
Hsa-Mir-188-P1	NA	NA	1
Hsa-Mir-188-P2	0	28.52	0
Hsa-Mir-188-P3	0	38.96	0
Hsa-Mir-19-P1	0	52.12	1
Hsa-Mir-19-P2a	0	25.17	0
Hsa-Mir-19-P2b	1	99.31	0
Hsa-Mir-190-P1	0	52.12	1
Hsa-Mir-190-P2	0	64.62	1
Hsa-Mir-1908	NA	NA	0
Hsa-Mir-191	0	14.87	0
Hsa-Mir-1910	0	40.05	0
Hsa-Mir-1911	1	54.71	1
Hsa-Mir-1912	0	27.55	1
Hsa-Mir-1913	0	25.17	0
Hsa-Mir-1914	0	24.83	1
Hsa-Mir-192-P1	0	13.58	0
Hsa-Mir-192-P2	1	42.93	0
Hsa-Mir-193-P1a	1	71.7	0
Hsa-Mir-193-P1b	0	34.87	0
Hsa-Mir-193-P2a	0	6.29	0
Hsa-Mir-193-P2b	0	2.42	1
Hsa-Mir-194-P1	1	66.43	0
Hsa-Mir-194-P2	1	75.26	0
Hsa-Mir-196-P1	NA	NA	0
Hsa-Mir-196-P2	0	46.01	0
Hsa-Mir-196-P3	0	34.15	0
Hsa-Mir-197	0	13.12	0
Hsa-Mir-199-P1-v1	1	77.38	1
Hsa-Mir-199-P2-v1	1	77.38	1
Hsa-Mir-199-P3-v1	1	77.38	1
Hsa-Mir-202	0	36.86	0
Hsa-Mir-203-v1	1	74.23	0
Hsa-Mir-204-P1	0	35.85	0
Hsa-Mir-204-P2	0	7.97	0
Hsa-Mir-205-P1	NA	NA	0
Hsa-Mir-208-P1	0	80.11	0
Hsa-Mir-208-P2	1	46.01	0
Hsa-Mir-21	0	46.01	0
Hsa-Mir-210	0	27.17	0
Hsa-Mir-2114	NA	NA	1
Hsa-Mir-2115	0	66.43	0
Hsa-Mir-2116	0	70.71	1
Hsa-Mir-214-v1	0	31.64	0
Hsa-Mir-216-P1a	0	18.69	0
Hsa-Mir-216-P1b	0	80.11	0
Hsa-Mir-217-v1	0	14.46	1
Hsa-Mir-218-P1	1	71.7	1
Hsa-Mir-218-P2	1	56.64	0
Hsa-Mir-219-P1	1	40.9	0
Hsa-Mir-219-P2	1	63.29	1
Hsa-Mir-22-P1a	NA	NA	1
Hsa-Mir-221-P1	0	59.05	0
Hsa-Mir-221-P2	1	79.55	1
Hsa-Mir-223	1	76.31	1
Hsa-Mir-224	0	50.35	0
Hsa-Mir-2276	0	38.42	0
Hsa-Mir-2277	0	11.27	1
Hsa-Mir-23-P1	0	44.75	1
Hsa-Mir-23-P2	0	22.53	0
Hsa-Mir-2355	0	17.43	1
Hsa-Mir-24-P1	0	31.64	0
Hsa-Mir-24-P2	NA	NA	1
Hsa-Mir-2467	0	14.87	0
Hsa-Mir-26-P1	0	11.74	1
Hsa-Mir-26-P2	0	40.33	1
Hsa-Mir-26-P3	0	70.71	1
