id	GHG_Fang_definition	GHG_Kown_score	GHG_defined_by_bulge
cel-lin-4:MI0000002:in:none	0	70.71	1
cel-mir-1817:MI0007979:in:none	0	30.35	0
cel-mir-1819:MI0007981:in:none	NA	NA	0
cel-mir-1821:MI0007983:in:none	0	38.69	0
cel-mir-1822:MI0007984:in:none	0	26.79	0
cel-mir-1823:MI0007985:in:none	0	21.32	0
cel-mir-1829a:MI0008197:in:none	0	10.96	0
cel-mir-1829c:MI0008199:in:none	0	10.96	0
cel-mir-1832a:MI0008202:in:none	1	51.76	0
cel-mir-2208a:MI0010956:in:none	0	38.42	0
cel-mir-2208b:MI0010957:in:none	0	35.36	0
cel-mir-2209a:MI0010958:in:none	0	18.05	0
cel-mir-2209b:MI0010969:in:none	0	42.34	0
cel-mir-2209c:MI0010959:in:none	1	53.22	0
cel-mir-2210:MI0010960:in:none	0	35.11	1
cel-mir-2218b:MI0010971:in:none	0	45.06	0
cel-mir-2221:MI0010974:in:none	0	72.2	0
cel-mir-230:MI0000305:in:none	0	22.38	0
cel-mir-231:MI0000306:in:none	0	34.15	0
cel-mir-232:MI0000307:in:none	0	27.36	0
cel-mir-233:MI0000308:in:none	0	25.17	0
cel-mir-234:MI0000309:in:none	NA	NA	1
cel-mir-235:MI0000310:in:none	0	9.09	1
cel-mir-236:MI0000311:in:none	0	10.73	0
cel-mir-237:MI0000312:in:none	0	36.35	1
cel-mir-238:MI0000313:in:none	1	51.41	0
cel-mir-239a:MI0000314:in:none	0	45.38	0
cel-mir-239b:MI0000315:in:none	0	66.43	0
cel-mir-240:MI0000316:in:none	0	15.28	0
cel-mir-241:MI0000317:in:none	0	27.93	0
cel-mir-242:MI0000318:in:none	0	32.76	0
cel-mir-243:MI0000319:in:none	0	9.34	0
cel-mir-244:MI0000320:in:none	1	46.01	0
cel-mir-245:MI0000321:in:none	0	17.08	0
cel-mir-247:MI0000323:in:none	0	34.63	0
cel-mir-248:MI0000324:in:none	0	51.05	0
cel-mir-249:MI0000325:in:none	NA	NA	0
cel-mir-250:MI0000326:in:none	0	46.65	0
cel-mir-251:MI0000327:in:none	0	13.03	0
cel-mir-252:MI0000328:in:none	0	34.63	0
cel-mir-253:MI0000329:in:none	1	66.43	0
cel-mir-254:MI0000330:in:none	1	100	0
cel-mir-255:MI0000331:in:none	0	33.45	0
cel-mir-259:MI0000336:in:none	0	55.86	0
cel-mir-2953:MI0013633:in:none	0	10.37	0
cel-mir-35:MI0000006:in:none	0	45.06	0
cel-mir-356b:MI0019158:in:none	0	55.86	0
cel-mir-357:MI0000756:in:none	0	19.75	0
cel-mir-358:MI0000757:in:none	0	32.53	1
cel-mir-36:MI0000007:in:none	0	41.75	0
cel-mir-360:MI0000759:in:none	1	53.22	0
cel-mir-37:MI0000008:in:none	0	41.75	0
cel-mir-38:MI0000009:in:none	0	34.15	0
cel-mir-39:MI0000010:in:none	0	39.78	0
cel-mir-392:MI0000819:in:none	0	32.09	0
cel-mir-40:MI0000011:in:none	0	28.13	0
cel-mir-41:MI0000012:in:none	0	80.11	0
cel-mir-42:MI0000013:in:none	0	80.11	0
cel-mir-43:MI0000014:in:none	1	66.43	0
cel-mir-44:MI0000015:in:none	0	55.86	0
cel-mir-45:MI0000016:in:none	1	100	0
cel-mir-46:MI0000017:in:none	NA	NA	0
cel-mir-47:MI0000018:in:none	0	5.22	0
cel-mir-48:MI0000019:in:none	0	18.43	0
cel-mir-4806:MI0017536:in:none	0	55.86	0
cel-mir-4808:MI0017538:in:none	0	16.38	0
cel-mir-4812:MI0017542:in:none	0	22.38	0
cel-mir-4813:MI0017543:in:none	0	33.45	0
cel-mir-49:MI0000020:in:none	0	63.29	1
cel-mir-51:MI0000022:in:none	NA	NA	1
cel-mir-52:MI0000023:in:none	0	55.86	0
cel-mir-53:MI0000024:in:none	0	80.11	0
cel-mir-54:MI0000025:in:none	0	38.96	0
cel-mir-55:MI0000026:in:none	0	19.61	0
cel-mir-5594:MI0019157:in:none	0	21.46	0
cel-mir-56:MI0000027:in:none	0	74.74	0
cel-mir-57:MI0000028:in:none	0	32.53	1
cel-mir-58a:MI0000029:in:none	NA	NA	0
cel-mir-61:MI0000032:in:none	1	46.01	0
cel-mir-63:MI0000034:in:none	1	76.31	0
cel-mir-64:MI0000035:in:none	0	25.17	0
cel-mir-65:MI0000036:in:none	1	66.43	0
cel-mir-66:MI0000037:in:none	1	100	0
cel-mir-67:MI0000038:in:none	0	50.35	0
cel-mir-70:MI0000041:in:none	0	38.16	0
cel-mir-73:MI0000044:in:none	0	7.03	0
cel-mir-74:MI0000045:in:none	0	38.16	0
cel-mir-76:MI0000047:in:none	0	38.69	0
cel-mir-77:MI0000048:in:none	0	56.64	1
cel-mir-784:MI0005184:in:none	0	52.85	0
cel-mir-785:MI0005185:in:none	0	23.16	0
cel-mir-786:MI0005186:in:none	0	23.98	0
cel-mir-787:MI0005187:in:none	NA	NA	1
cel-mir-789-1:MI0005189:in:none	0	55.86	0
cel-mir-789-2:MI0005190:in:none	0	55.86	0
cel-mir-790:MI0005191:in:none	1	42.93	0
cel-mir-791:MI0005192:in:none	0	32.09	0
cel-mir-794:MI0005195:in:none	0	17.8	0
